"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label"
"102","BJS",2024-06-23,"T3_late","1730",1,5,0.278,4700,1600,4520,3400,6000,"BJS_20240623_1730"
"103","BJS",2024-06-25,"T3_late","1200",1,7,0.4675,2300,2957.14285714286,3857.14285714286,1200,7200,"BJS_20240625_1200"
"104","BJS",2024-06-27,"T3_late","1300",1,16,0.268333333333333,3412.5,1706.25,3725,1500,6500,"BJS_20240627_1300"
"105","BJS",2024-06-27,"T3_late","1500",3,20,0.554175595238095,2835,2905,3675,1000,6800,"BJS_20240627_1500"
"106","BJS",2024-06-27,"T3_late","1610",3,22,0.445601731601732,3581.81818181818,2186.36363636364,3931.81818181818,1000,7000,"BJS_20240627_1610"
"107","BJS",2024-06-27,"T3_late","1620",2,6,1.32325,4800,1683.33333333333,5033.33333333333,1200,8900,"BJS_20240627_1620"
"108","BJS",2024-06-27,"T3_late","1800",2,17,0.341140374331551,3982.35294117647,1758.82352941176,4170.58823529412,1300,9100,"BJS_20240627_1800"
"109","BJS",2024-06-27,"T3_late","1810",1,4,0.792,3225,3425,4025,1000,8600,"BJS_20240627_1810"
"110","BJS",2024-06-27,"T3_late","1820",1,8,0.382428571428572,3662.5,2250,4287.5,1000,7200,"BJS_20240627_1820"
"111","BJS",2024-06-28,"T3_late","1120",6,46,0.40827031573499,2804.34782608696,3050,3908.69565217391,800,9100,"BJS_20240628_1120"
"112","BJS",2024-06-28,"T3_late","1510",4,29,0.383479310344828,5151.72413793103,2575.86206896552,5451.72413793103,3200,8200,"BJS_20240628_1510"
"113","BJS",2024-06-28,"T3_late","1910",1,15,0.294071428571428,4146.66666666667,2766.66666666667,4213.33333333333,2500,8700,"BJS_20240628_1910"
"114","BJS",2024-06-29,"T3_late","0730",1,7,0.4865,2457.14285714286,3514.28571428571,3928.57142857143,1000,8600,"BJS_20240629_0730"
"115","BJS",2024-06-29,"T3_late","1100",11,58,0.469568103448276,2858.62068965517,1946.55172413793,3267.24137931034,800,6000,"BJS_20240629_1100"
