base_time,car_driving,frog,insect,car_horn,bird,human_voice,human_knocking,rain,music,site
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_115000,60,0,60,0,8.599,0,0.38400000000000034,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_152000,60,0,60,0,4.448,0,0,0,0,YZL
YZL_20240623_153000,60,0,60,0,5.908,0,0,0,0,YZL
YZL_20240624_094000,53.344,0,60,0,28.752999999999997,0,0,0,0,YZL
YZL_20240624_094000,53.344,0,60,0,28.752999999999997,0,0,0,0,YZL
YZL_20240624_094000,53.344,0,60,0,28.752999999999997,0,0,0,0,YZL
YZL_20240624_095000,50,0,60,0,36.894,0,0,0,0,YZL
YZL_20240624_110000,60,0,60,0,4.2829999999999995,0,0,0,0,YZL
YZL_20240624_125000,60,0,60,0,2.8819999999999997,0,0,0,0,YZL
YZL_20240624_125000,60,0,60,0,2.8819999999999997,0,0,0,0,YZL
YZL_20240624_125000,60,0,60,0,2.8819999999999997,0,0,0,0,YZL
YZL_20240624_163000,50,0,60,0,0,0.32,0,0,0,YZL
YZL_20240624_163000,50,0,60,0,0,0.32,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_111000,60,0,60,0,4.943000000000001,0,0,0,0,YZL
YZL_20240625_135000,58.208,0,60,0,0,0,0,0,0,YZL
YZL_20240625_135000,58.208,0,60,0,0,0,0,0,0,YZL
YZL_20240625_135000,58.208,0,60,0,0,0,0,0,0,YZL
YZL_20240625_140000,60,0,60,0,8.034,0,0,0,0,YZL
YZL_20240626_084000,60,0,60,0,18.142,0,0,0,0,YZL
YZL_20240626_084000,60,0,60,0,18.142,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_092000,60,0,60,0,4.846000000000001,0,0,0,0,YZL
YZL_20240626_093000,60,0,60,0,25.614,0,0,0,0,YZL
YZL_20240626_093000,60,0,60,0,25.614,0,0,0,0,YZL
YZL_20240626_093000,60,0,60,0,25.614,0,0,0,0,YZL
YZL_20240626_112001,60,0,60,1.4079999999999995,6.504,0,0,0,0,YZL
YZL_20240626_114000,60,0,60,0,0.6470000000000002,0,0,0,0,YZL
YZL_20240626_123000,60,0,60,0,4.4350000000000005,0,0,0,0,YZL
YZL_20240626_134000,60,0,60,0,13.141000000000002,0,0,0,0,YZL
YZL_20240626_134000,60,0,60,0,13.141000000000002,0,0,0,0,YZL
