"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"46","BJS",2024-05-12,"T1_early","0910",6,97,0.229385452462772,3776.28865979381,1835.05154639175,4106.18556701031,2000,6700,"BJS_20240512_0910","BJS_20240512_091000",0,0,60,0,8.681,0,0,0,0,"BJS",0,0.572341666666667,0,0.333333333333333,0,0.0482277777777778,9,10,9.16666666666667
"47","BJS",2024-05-12,"T1_early","1200",6,35,0.520952380952381,3220,3260,3894.28571428571,800,8900,"BJS_20240512_1200","BJS_20240512_120000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12,0,12
"48","BJS",2024-05-12,"T1_early","1600",1,10,0.316555555555556,2290,2340,3430,800,8000,"BJS_20240512_1600","BJS_20240512_160000",60,0,60,0,12.625,0,0,60,0,"BJS",0.333333333333333,0.605208333333333,0.25,1,0,0.0701388888888889,16,0,16
"49","BJS",2024-05-13,"T1_early","1110",8,46,0.498920117322291,4367.39130434783,1919.5652173913,4452.17391304348,800,7500,"BJS_20240513_1110","BJS_20240513_111000",60,0,60,0,9.002,0,0.848,0,0,"BJS",0.333333333333333,0.575016666666667,0.00353333333333333,0.666666666666667,0.00471111111111111,0.0500111111111111,11,10,11.1666666666667
"50","BJS",2024-05-14,"T1_early","0640",1,3,0.583,2466.66666666667,1566.66666666667,3000,1000,4900,"BJS_20240514_0640","BJS_20240514_064000",60,0,60,0,20.106,0,0,0,0,"BJS",0.333333333333333,0.66755,0,0.666666666666667,0,0.1117,6,40,6.66666666666667
"51","BJS",2024-05-14,"T1_early","0930",1,4,0.851,2675,3725,4350,800,8200,"BJS_20240514_0930","BJS_20240514_093000",50,0,60,0,1.812,6.368,0,0,0,"BJS",0.313155555555556,0.5151,0,0.611111111111111,0,0.0454444444444445,9,30,9.5
"52","BJS",2024-05-14,"T1_early","1630",2,13,0.252048076923077,5376.92307692308,1669.23076923077,5330.76923076923,3400,6700,"BJS_20240514_1630","BJS_20240514_163000",60,0,60,0.32,36.622,0,1.28,0,0,"BJS",0.333333333333333,0.805183333333333,0.00666666666666666,0.666666666666667,0.00888888888888888,0.203455555555556,16,30,16.5
"53","BJS",2024-05-15,"T1_early","0820",3,27,0.332199588477366,4629.62962962963,2707.40740740741,4866.66666666667,1200,8700,"BJS_20240515_0820","BJS_20240515_082000",0,0,60,0,32.526,0,0,0,0,"BJS",0,0.77105,0,0.333333333333333,0,0.1807,8,20,8.33333333333333
"54","BJS",2024-05-16,"T1_early","0840",1,3,0.4495,3866.66666666667,2333.33333333333,4433.33333333333,1700,5600,"BJS_20240516_0840","BJS_20240516_084000",10,0,60,0,12.307,0,0,0,0,"BJS",0.0555555555555556,0.602558333333333,0,0.388888888888889,0,0.0683722222222222,8,40,8.66666666666667
"55","BJS",2024-05-16,"T1_early","0850",1,11,0.3669,2690.90909090909,2018.18181818182,3681.81818181818,1200,4300,"BJS_20240516_0850","BJS_20240516_085000",15.536,0,60,0,0.588,0.319999999999999,0,0,0,"BJS",0.0880888888888889,0.5049,0,0.419644444444444,0,0.00504444444444444,8,50,8.83333333333333
